Codici statistici e denominazioni delle unità amministrative rispondenti ai nuovi assetti territoriali della Sardegna. In vigore dal 1° gennaio 2026;;;;;;
"Denominazione Provincia/
Città metropolitana";"Codice Provincia/
Città metropolitana";Codice Comune;Denominazione Comune;Codice Comune precedente;"Codice Provincia/
Città metropolitana precedente";"Denominazione Provincia/
Città metropolitana
(ripartizione precedente)"
Città metropolitana di Cagliari;318;118038;Quartu Sant'Elena;092051;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118039;Quartucciu;092105;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118040;Sadali;111058;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118041;Samatzai;111060;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118042;San Basilio;111061;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118043;San Nicolò Gerrei;111064;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118044;San Sperate;111065;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118045;San Vito;111066;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118046;Sant'Andrea Frius;111069;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118047;Sarroch;092066;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118048;Selargius;092068;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118049;Selegas;111074;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118050;Senorbì;111075;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118051;Serdiana;111076;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118052;Serri;111079;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118053;Sestu;092074;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118054;Settimo San Pietro;092075;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118056;Siliqua;111084;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118057;Silius;111085;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118058;Sinnai;092080;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118059;Siurgus Donigala;111086;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118060;Soleminis;111087;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118061;Suelli;111088;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118063;Ussana;111093;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118064;Uta;092090;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118065;Vallermosa;111095;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118066;Villa San Pietro;092099;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118067;Villanova Tulo;111099;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118068;Villaputzu;111103;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118069;Villasalto;111104;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118070;Villasimius;111105;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118071;Villasor;111106;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118072;Villaspeciosa;111107;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119001;Buggerru;111006;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119002;Calasetta;111008;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119003;Carbonia;111009;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119004;Carloforte;111010;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119005;Domusnovas;111016;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119006;Fluminimaggiore;111021;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119007;Giba;111028;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119008;Gonnesa;111030;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119009;Iglesias;111035;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119010;Masainas;111040;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119011;Musei;111043;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119012;Narcao;111044;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119013;Nuxis;111049;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119014;Perdaxius;111054;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119015;Piscinas;111056;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119016;Portoscuso;111057;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119017;San Giovanni Suergiu;111063;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119018;Santadi;111068;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119019;Sant'Anna Arresi;111070;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119020;Sant'Antioco;111071;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119021;Tratalias;111090;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119022;Villamassargia;111098;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119023;Villaperuccio;111102;111;Provincia del Sud Sardegna
Provincia del Sulcis Iglesiente;119;119024;Teulada;111089;111;Provincia del Sud Sardegna
